ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2013-01-27 21:50:29+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],204186,US,71.56.209.168,Right Here,Justin Bieber,Believe,spotify:track:7vjtAU3Ns1AT4dRa0voHBJ,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 22:06:30+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],293613,US,71.56.209.168,Clique,Kanye West,Kanye West Presents Good Music Cruel Summer,spotify:track:7eW9cHOAHmYqphs5tWXETw,,,,fwdbtn,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 22:14:35+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],284413,US,71.56.209.168,Scream & Shout,will.i.am,Scream & Shout,spotify:track:054ue8u2erwwGNgSIZLEPq,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 22:19:15+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],248466,US,71.56.209.168,Swimming Pools (Drank),Kendrick Lamar,Swimming Pools (Drank),spotify:track:7frWizM5FgJkaUl1rXhVtO,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 22:23:04+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],227853,US,71.56.209.168,Never Say Never,Justin Bieber,Never Say Never - The Remixes,spotify:track:5GYbkDveRD2I8M5ZJ14hWn,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 22:26:58+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],233949,US,71.56.209.168,Jimmy Iovine (feat. Ab-Soul),Macklemore & Ryan Lewis,The Heist,spotify:track:2eYd0mEJAmw4zBKWMb7PaT,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 22:37:23+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],235560,US,71.56.209.168,Taken,One Direction,Up All Night,spotify:track:3F6mrGxmwnMJsevsSK86YC,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 22:44:35+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],215800,US,71.56.209.168,Everything About You,One Direction,Up All Night,spotify:track:0eEAEX0VEC68pXQ1PeNzKX,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 23:03:11+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],284413,US,71.56.209.168,Scream & Shout,will.i.am,Scream & Shout,spotify:track:054ue8u2erwwGNgSIZLEPq,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-27 23:25:49+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],264493,US,71.56.209.168,Take a Walk,Passion Pit,Gossamer,spotify:track:4Sfa7hdVkqlM8UW5LsSY3F,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-28 00:41:04+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],197186,US,71.56.209.168,One Thing,One Direction,Up All Night,spotify:track:6tKW2g2So84pCTZXE0Furx,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
2013-01-28 01:02:43+00:00,Windows 7 (Unknown Ed) SP1 [x86 0],241466,US,71.56.209.168,Bruises,Chairlift,Does You Inspire You,spotify:track:4mdyVTV7Tr5YDFnD2kvSM4,,,,trackdone,trackdone,TRUE,FALSE,FALSE,,FALSE
